t_s,imu,report,x,y,z,w
4.639670,0x4B,accel,9.351562,0.679688,-1.246094,
4.641371,0x4A,quat,-0.176453,-0.716736,0.147217,0.658386
4.642027,0x4B,accel,9.355469,0.718750,-1.246094,
4.642707,0x4A,accel,8.359375,-4.160156,-0.832031,
4.643890,0x4B,gyro,0.000000,0.000000,0.005859,
4.643899,0x4B,quat,0.029419,-0.749084,-0.023987,0.661377
4.645870,0x4A,gyro,0.000000,0.001953,0.000000,
4.645878,0x4A,quat,-0.176453,-0.716736,0.147278,0.658386
4.646536,0x4B,accel,9.390625,0.718750,-1.285156,
4.647180,0x4A,accel,8.363281,-4.199219,-0.832031,
4.648359,0x4B,gyro,0.003906,0.001953,0.005859,
4.648366,0x4B,quat,0.029419,-0.749146,-0.023926,0.661316
4.649058,0x4A,accel,8.359375,-4.160156,-0.871094,
4.649813,0x4B,accel,9.355469,0.718750,-1.285156,
4.651945,0x4A,gyro,0.003906,0.000000,0.007812,
4.651950,0x4A,quat,-0.176453,-0.716736,0.147278,0.658386
4.652569,0x4B,gyro,0.005859,0.001953,0.000000,
4.653201,0x4A,accel,8.359375,-4.160156,-0.871094,
4.655029,0x4B,quat,0.029419,-0.749146,-0.023926,0.661316
4.656894,0x4A,gyro,0.007812,0.003906,0.007812,
4.656898,0x4A,quat,-0.176453,-0.716736,0.147278,0.658386
4.657547,0x4B,accel,9.316406,0.718750,-1.246094,
4.658182,0x4A,accel,8.363281,-4.199219,-0.832031,
4.659948,0x4B,gyro,-0.003906,0.007812,0.000000,
4.659952,0x4B,quat,0.029419,-0.749146,-0.023926,0.661316
4.659956,0x4B,accel,9.351562,0.679688,-1.246094,
4.661974,0x4A,gyro,0.003906,0.000000,0.005859,
4.661983,0x4A,quat,-0.176453,-0.716736,0.147339,0.658386
4.662641,0x4B,accel,9.312500,0.679688,-1.246094,
4.663294,0x4A,accel,8.398438,-4.160156,-0.832031,
4.664548,0x4B,gyro,0.001953,0.000000,0.007812,
4.664556,0x4B,quat,0.029419,-0.749146,-0.023926,0.661316
4.666180,0x4A,gyro,-0.001953,0.001953,0.003906,
4.666188,0x4A,quat,-0.176514,-0.716736,0.147339,0.658386
4.666828,0x4B,accel,9.351562,0.679688,-1.246094,
4.667477,0x4A,accel,8.398438,-4.160156,-0.832031,
4.668685,0x4B,gyro,0.003906,0.001953,0.001953,
4.668692,0x4B,quat,0.029419,-0.749207,-0.023926,0.661255
4.669361,0x4A,accel,8.363281,-4.199219,-0.871094,
4.670124,0x4B,accel,9.351562,0.679688,-1.285156,
4.671445,0x4A,gyro,-0.001953,0.001953,0.003906,
4.671449,0x4A,quat,-0.176514,-0.716736,0.147339,0.658386
4.672689,0x4A,accel,8.398438,-4.160156,-0.832031,
4.673306,0x4B,gyro,0.003906,0.005859,0.005859,
4.674435,0x4A,gyro,0.009766,0.003906,0.001953,
4.674441,0x4A,quat,-0.176514,-0.716736,0.147339,0.658386
4.675808,0x4B,quat,0.029419,-0.749207,-0.023865,0.661255
4.675812,0x4B,accel,9.394531,0.679688,-1.246094,
4.676437,0x4A,accel,8.359375,-4.160156,-0.832031,
4.677055,0x4B,accel,9.351562,0.679688,-1.207031,
4.678282,0x4B,gyro,-0.005859,0.009766,0.001953,
4.678894,0x4A,gyro,0.007812,0.003906,0.003906,
4.680171,0x4B,quat,0.029358,-0.749207,-0.023865,0.661255
4.681704,0x4A,quat,-0.176514,-0.716736,0.147339,0.658386
4.682362,0x4B,accel,9.351562,0.679688,-1.246094,
4.683019,0x4A,accel,8.402344,-4.199219,-0.832031,
4.684215,0x4B,gyro,-0.005859,0.009766,0.001953,
4.684222,0x4B,quat,0.029358,-0.749207,-0.023865,0.661255
4.686040,0x4A,gyro,0.009766,0.005859,0.003906,
4.686048,0x4A,quat,-0.176514,-0.716675,0.147400,0.658386
4.686690,0x4B,accel,9.312500,0.679688,-1.246094,
4.687340,0x4A,accel,8.402344,-4.199219,-0.832031,
4.688517,0x4B,gyro,0.001953,0.011719,0.001953,
4.688524,0x4B,quat,0.029358,-0.749207,-0.023865,0.661255
4.689165,0x4A,accel,8.402344,-4.199219,-0.832031,
4.689982,0x4B,accel,9.351562,0.679688,-1.207031,
4.692045,0x4A,gyro,0.003906,0.003906,0.001953,
4.692049,0x4A,quat,-0.176514,-0.716675,0.147400,0.658386
4.692670,0x4B,gyro,-0.007812,0.009766,0.001953,
4.693308,0x4A,accel,8.398438,-4.160156,-0.832031,
4.694711,0x4B,quat,0.029358,-0.749207,-0.023865,0.661255
4.696636,0x4A,gyro,0.005859,0.005859,0.005859,
4.696640,0x4A,quat,-0.176514,-0.716675,0.147400,0.658386
4.697263,0x4B,accel,9.351562,0.640625,-1.167969,
4.697893,0x4A,accel,8.398438,-4.160156,-0.832031,
4.699343,0x4B,accel,9.355469,0.718750,-1.207031,
4.699348,0x4B,gyro,-0.001953,0.011719,0.000000,
4.699351,0x4B,quat,0.029358,-0.749207,-0.023865,0.661255
4.700959,0x4A,gyro,0.007812,0.007812,0.003906,
4.700976,0x4A,quat,-0.176514,-0.716675,0.147400,0.658447
4.701634,0x4B,accel,9.351562,0.640625,-1.207031,
4.702284,0x4A,accel,8.359375,-4.160156,-0.832031,
