t_s,stream,v1,v2,v3,v4
4.761669,toe_fsr,0,,,
4.762506,foot_accel,0.812500,2.007812,-9.492188,
4.763162,shank_accel,-0.375000,2.441406,-9.671875,
4.763421,heel_fsr,414,,,
4.763679,encoder,121.113281,,,
4.764940,foot_gyro,0.000000,0.000000,0.000000,
4.765648,shank_gyro,0.003906,0.000000,-0.001953,
4.765881,toe_fsr,-6,,,
4.766712,foot_accel,0.851562,2.007812,-9.531250,
4.767336,shank_accel,-0.375000,2.402344,-9.675781,
4.767960,foot_gyro,0.000000,0.000000,0.000000,
4.768185,heel_fsr,427,,,
4.769008,encoder,121.113281,,,
4.770203,foot_accel,0.812500,2.007812,-9.562500,
4.771223,shank_gyro,0.000000,-0.003906,-0.001953,
4.771448,toe_fsr,7,,,
4.772822,shank_accel,-0.375000,2.402344,-9.710938,
4.773445,foot_gyro,0.000000,0.000000,0.000000,
4.773668,heel_fsr,423,,,
4.774277,shank_accel,-0.335938,2.402344,-9.710938,
4.774507,encoder,121.113281,,,
4.775502,foot_accel,0.851562,2.007812,-9.492188,
4.776582,shank_gyro,0.001953,0.000000,-0.001953,
4.776832,toe_fsr,4,,,
4.777660,foot_accel,0.812500,2.007812,-9.531250,
4.778302,shank_accel,-0.375000,2.402344,-9.675781,
4.778562,encoder,121.113281,,,
4.779470,foot_gyro,0.000000,0.000000,0.000000,
4.779733,heel_fsr,413,,,
4.780820,shank_gyro,0.003906,0.003906,0.000000,
4.781661,foot_accel,0.812500,2.007812,-9.492188,
4.782725,shank_accel,-0.375000,2.441406,-9.714844,
4.782973,toe_fsr,-3,,,
4.783804,foot_gyro,0.000000,0.000000,0.000000,
4.784799,heel_fsr,414,,,
4.785031,encoder,121.113281,,,
4.785822,foot_accel,0.851562,2.042969,-9.531250,
4.786912,shank_gyro,-0.001953,0.001953,0.000000,
4.787135,toe_fsr,4,,,
4.787909,foot_gyro,0.000000,0.000000,0.000000,
4.788524,shank_accel,-0.375000,2.402344,-9.750000,
4.788756,encoder,121.113281,,,
4.789815,foot_accel,0.812500,2.007812,-9.531250,
4.790045,heel_fsr,427,,,
4.791061,shank_gyro,-0.001953,-0.001953,0.000000,
4.792630,shank_accel,-0.375000,2.402344,-9.675781,
4.792857,toe_fsr,1,,,
4.794038,foot_gyro,0.000000,0.000000,0.000000,
4.794666,shank_accel,-0.335938,2.402344,-9.710938,
4.794889,heel_fsr,427,,,
4.795114,encoder,121.113281,,,
4.795925,foot_accel,0.851562,2.007812,-9.492188,
4.796598,shank_gyro,0.003906,0.003906,0.001953,
4.796852,toe_fsr,-1,,,
4.797686,foot_accel,0.812500,2.042969,-9.531250,
4.798323,shank_accel,-0.375000,2.402344,-9.710938,
4.798583,encoder,121.113281,,,
4.799524,foot_gyro,0.000000,0.000000,0.000000,
4.799787,heel_fsr,421,,,
4.800520,shank_gyro,0.001953,0.000000,-0.001953,
4.801364,foot_accel,0.812500,2.042969,-9.531250,
4.802456,shank_accel,-0.375000,2.402344,-9.710938,
4.802701,toe_fsr,3,,,
4.803551,foot_gyro,0.000000,0.000000,0.000000,
4.804436,encoder,121.113281,,,
4.805494,foot_accel,0.812500,2.007812,-9.531250,
4.805729,heel_fsr,415,,,
4.806795,shank_gyro,0.001953,0.003906,0.003906,
4.807582,foot_gyro,0.000000,0.000000,0.000000,
4.808202,shank_accel,-0.375000,2.402344,-9.675781,
4.809041,toe_fsr,3,,,
4.809821,shank_gyro,0.000000,0.000000,0.000000,
4.810052,encoder,121.113281,,,
4.810684,foot_accel,0.812500,2.007812,-9.531250,
4.810922,heel_fsr,422,,,
4.811989,shank_accel,-0.335938,2.402344,-9.675781,
4.812780,foot_gyro,0.000000,0.000000,0.000000,
4.813393,shank_accel,-0.375000,2.363281,-9.710938,
4.813619,encoder,121.113281,,,
4.814639,foot_accel,0.851562,2.007812,-9.531250,
4.814870,toe_fsr,-5,,,
4.816076,shank_gyro,-0.001953,0.000000,0.003906,
4.816952,heel_fsr,412,,,
4.817866,shank_accel,-0.375000,2.402344,-9.675781,
4.819108,foot_gyro,0.000000,0.000000,0.000000,
4.819764,shank_gyro,0.001953,0.001953,0.000000,
4.820017,toe_fsr,3,,,
4.820450,encoder,121.113281,,,
4.821105,foot_accel,0.812500,2.042969,-9.531250,
4.822170,shank_accel,-0.335938,2.402344,-9.710938,
4.822433,heel_fsr,421,,,
4.823803,foot_accel,0.812500,2.007812,-9.531250,
4.824424,shank_gyro,0.001953,-0.003906,0.001953,
4.824656,toe_fsr,7,,,
4.825041,encoder,121.113281,,,
4.825679,foot_gyro,0.000000,0.000000,0.000000,
4.826707,shank_accel,-0.375000,2.402344,-9.710938,
4.826939,heel_fsr,418,,,
4.827719,foot_accel,0.812500,2.007812,-9.562500,
4.828551,encoder,121.113281,,,
